slutpris,avgift_kr,boarea_kvm,antal_rum,sald_datum,prisforandring_pct,pris_per_kvm,omrade,url,bostadstyp,raw_text,sald_ar,sald_manad,sald_kvartal,omrade_clean,kvm_per_rum,avgift_per_kvm,avgift_andel,sasong,budkrig,prissankt,storlek_kategori,upplatelseform,har_balkong,vaning,antal_vaningar,har_hiss,byggar,driftkostnad_ar,antal_besok,har_uteplats,har_garage,renoverad,biarea_kvm,tomtarea_kvm,bostad_alder,total_yta,relativ_vaning,toppvaning,driftkostnad_per_kvm,tomt_per_boarea,gatuadress,latitude,longitude,avstand_centrum_km,avstand_station_km,avstand_sjukhus_km,avstand_universitet_km,avstand_marieberg_km
1295000,4407.0,56.5,2.0,2026-03-08,-19.0,22920.0,A Lägenhet Almby,https://www.hemnet.se/salda/lagenhet-2rum-almby-orebro-kommun-skolmastaregatan-2a-1988382964672744285,lagenheter,"Såld 8 mar. 2026 Skolmästaregatan 2A Lägenhet Almby, Örebro kommun 56,5 m² 2 rum 4 407 kr/mån Balkong Hiss Slutpris 1 295 000 kr -19 % 22 920 kr/m² Bostada Örebro",2026,3,1,Lägenhet Almby,28.2,78.0,4.08,vår,0,1,liten (40-60),Bostadsrätt,0,1.0,3.0,1,1954.0,3600.0,5560.0,1,0,0,,,72.0,56.5,0.3333333333333333,0.0,63.71681415929204,,Skolmästaregatan 2A,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1195000,6802.0,82.0,3.0,2026-03-06,0.0,14573.0,Lägenhet Väster,https://www.hemnet.se/salda/lagenhet-3rum-vaster-orebro-kommun-gjutaregatan-1-5359780164276501290,lagenheter,"Såld 6 mar. 2026 Gjutaregatan 1 Lägenhet Väster, Örebro kommun 82 m² 3 rum 6 802 kr/mån Balkong Slutpris 1 195 000 kr ±0 % 14 573 kr/m² Erik Olsson Fastighetsförmedling",2026,3,1,Väster,27.3,83.0,6.83,vår,0,0,stor (80-100),Bostadsrätt,0,2.0,3.0,1,1947.0,8441.0,2515.0,1,0,0,,,79.0,82.0,0.6666666666666666,0.0,102.9390243902439,,Gjutaregatan 1,59.434166,15.0239851,20.71964094608852,20.32916871949498,20.00347183018114,23.780103334742112,20.82271626040077
1800000,4446.0,54.0,2.0,2026-03-05,0.0,33333.0,Lägenhet Rynninge,https://www.hemnet.se/salda/lagenhet-2rum-rynninge-orebro-kommun-pionjargatan-12-2535975568906422824,lagenheter,"Såld 5 mar. 2026 Pionjärgatan 12 Lägenhet Rynninge, Örebro kommun 54 m² 2 rum 4 446 kr/mån Balkong Hiss Slutpris 1 800 000 kr ±0 % 33 333 kr/m² Wallenstedt Fastighetsmäkleri",2026,3,1,Rynninge,27.0,82.3,2.96,vår,0,0,liten (40-60),Bostadsrätt,0,3.0,5.0,1,2017.0,9500.0,1950.0,1,0,0,,,9.0,54.0,0.6,0.0,175.92592592592592,,Pionjärgatan 12,59.2801416,15.2412374,1.6762046841050797,1.999894174252529,3.8343309711183684,2.965150271719474,1.0409274347604374
4225000,5382.0,95.0,3.0,2026-03-05,10.0,44474.0,E Lägenhet Öster,https://www.hemnet.se/salda/lagenhet-3rum-oster-orebro-kommun-nygatan-65e-6836177247923311315,lagenheter,"Såld 5 mar. 2026 Nygatan 65E Lägenhet Öster, Örebro kommun 95 m² 3 rum 5 382 kr/mån Slutpris 4 225 000 kr +10 % 44 474 kr/m² Nordå Fastighetsmäklare",2026,3,1,Lägenhet Öster,31.7,56.7,1.53,vår,1,0,stor (80-100),Bostadsrätt,0,2.0,3.0,1,1927.0,10656.0,5159.0,1,0,0,,,99.0,95.0,0.6666666666666666,0.0,112.16842105263156,,Nygatan 65E,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
2100000,6046.0,78.5,3.0,2026-03-04,-4.0,26752.0,Lägenhet Rynninge,https://www.hemnet.se/salda/lagenhet-3rum-rynninge-orebro-kommun-vallare-walls-gata-17-8962724357141326202,lagenheter,"Såld 4 mar. 2026 Vallare Walls gata 17 Lägenhet Rynninge, Örebro kommun 78,5 m² 3 rum 6 046 kr/mån Balkong Hiss Slutpris 2 100 000 kr -4 % 26 752 kr/m² Nordå Fastighetsmäklare",2026,3,1,Rynninge,26.2,77.0,3.45,vår,0,1,medel (60-80),Bostadsrätt,0,3.0,5.0,1,2017.0,,2976.0,1,0,0,,,9.0,78.5,0.6,0.0,,,Vallare Walls gata 17,59.2801416,15.2412374,1.6762046841050797,1.999894174252529,3.8343309711183684,2.965150271719474,1.0409274347604374
935000,4604.0,78.5,3.0,2026-03-03,18.0,11911.0,Lägenhet Lundby,https://www.hemnet.se/salda/lagenhet-3rum-lundby-orebro-kommun-mandelstensvagen-49-4360021709132395832,lagenheter,"Såld 3 mar. 2026 Mandelstensvägen 49 Lägenhet Lundby, Örebro kommun 78,5 m² 3 rum 4 604 kr/mån Balkong Slutpris 935 000 kr +18 % 11 911 kr/m² Mäklarhuset Örebro",2026,3,1,Lundby,26.2,58.6,5.91,vår,1,0,medel (60-80),Bostadsrätt,0,2.0,2.0,1,1976.0,,1361.0,1,0,0,,,50.0,78.5,1.0,1.0,,,Mandelstensvägen 49,59.3088789,15.1843161,4.09143783451306,3.740075465125741,4.11475772659535,7.115837662059498,4.500517840032787
1300000,3962.0,53.0,2.0,2026-03-03,-7.0,24528.0,A Lägenhet Sörby/Eklunda,https://www.hemnet.se/salda/lagenhet-2rum-sorby-eklunda-orebro-kommun-hagmarksgatan-27a-3371168791637209293,lagenheter,"Såld 3 mar. 2026 Hagmarksgatan 27A Lägenhet Sörby/Eklunda, Örebro kommun 53 m² 2 rum 3 962 kr/mån Balkong Slutpris 1 300 000 kr -7 % 24 528 kr/m² SkandiaMäklarna Örebro",2026,3,1,Lägenhet Sörby/Eklunda,26.5,74.8,3.66,vår,0,1,liten (40-60),Bostadsrätt,0,1.0,4.0,1,1948.0,,307.0,1,0,0,,,78.0,53.0,0.25,0.0,,,Hagmarksgatan 27A,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
895000,3667.0,37.5,1.0,2026-03-02,0.0,23867.0,B Lägenhet Centralt Väster,https://www.hemnet.se/salda/lagenhet-1rum-centralt-vaster-orebro-kommun-vastra-bangatan-33b-1202861115105374407,lagenheter,"Såld 2 mar. 2026 Västra Bangatan 33B Lägenhet Centralt Väster, Örebro kommun 37,5 m² 1 rum 3 667 kr/mån Balkong Slutpris 895 000 kr ±0 % 23 867 kr/m² LF Fastighetsförmedling Örebro",2026,3,1,Lägenhet Centralt Väster,37.5,97.8,4.92,vår,0,0,mini (<40),Bostadsrätt,0,2.0,3.0,1,1943.0,4560.0,1995.0,0,0,0,,,83.0,37.5,0.6666666666666666,0.0,121.6,,Västra Bangatan 33B,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
650000,4059.0,40.0,1.0,2026-03-01,-6.0,16250.0,D Lägenhet Väster,https://www.hemnet.se/salda/lagenhet-1rum-vaster-orebro-kommun-lovstagatan-46d-8251483603733752870,lagenheter,"Såld 1 mar. 2026 Lövstagatan 46D Lägenhet Väster, Örebro kommun 40 m² 1 rum 4 059 kr/mån Balkong Hiss Slutpris 650 000 kr -6 % 16 250 kr/m² Mäklarhuset Örebro",2026,3,1,Lägenhet Väster,40.0,101.5,7.49,vår,0,1,mini (<40),Bostadsrätt,0,1.0,3.0,1,1946.0,,874.0,0,0,0,,,80.0,40.0,0.3333333333333333,0.0,,,Lövstagatan 46D,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
2100000,5524.0,72.0,3.0,2026-02-27,5.0,29167.0,Lägenhet Sörbyängen,https://www.hemnet.se/salda/lagenhet-3rum-sorbyangen-orebro-kommun-lillbackavagen-5-3653219751344652097,lagenheter,"Såld 27 feb. 2026 Lillbackavägen 5 Lägenhet Sörbyängen, Örebro kommun 72 m² 3 rum 5 524 kr/mån Balkong Hiss Slutpris 2 100 000 kr +5 % 29 167 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Sörbyängen,24.0,76.7,3.16,vinter,1,0,medel (60-80),Bostadsrätt,0,4.0,5.0,1,2018.0,6700.0,1107.0,0,0,0,,,8.0,72.0,0.8,0.0,93.05555555555556,,Lillbackavägen 5,59.2536029,15.2266426,2.5323067070890675,2.8767047670436345,3.563892375670674,1.172890998236951,4.068699656773744
1125000,4881.0,67.5,2.0,2026-02-27,-6.0,16667.0,Lägenhet Centralt Norr,https://www.hemnet.se/salda/lagenhet-2rum-centralt-norr-orebro-kommun-slottsgatan-21-409231509230030803,lagenheter,"Maps Data: Google © 2026 Såld 27 feb. 2026 Slottsgatan 21 Lägenhet Centralt Norr, Örebro kommun 67,5 m² 2 rum 4 881 kr/mån Balkong Hiss Slutpris 1 125 000 kr -6 % 16 667 kr/m² Fastighetsbyrån Örebro",2026,2,1,Centralt Norr,33.8,72.3,5.21,vinter,0,1,medel (60-80),Bostadsrätt,0,2.0,4.0,1,1993.0,2726.0,1026.0,0,0,0,,,33.0,67.5,0.5,0.0,40.38518518518519,,Slottsgatan 21,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1500000,9097.0,99.0,4.0,2026-02-27,-3.0,15152.0,A Lägenhet Centralt Väster Örebro,https://www.hemnet.se/salda/lagenhet-4rum-centralt-vaster-orebro-orebro-kommun-lovstagatan-46a-5763508206906160298,lagenheter,"Såld 27 feb. 2026 Lövstagatan 46A Lägenhet Centralt Väster Örebro, Örebro kommun 99 m² 4 rum 9 097 kr/mån Balkong Slutpris 1 500 000 kr -3 % 15 152 kr/m² Erik Olsson Fastighetsförmedling",2026,2,1,Lägenhet Centralt Väster Örebro,24.8,91.9,7.28,vinter,0,1,stor (80-100),Bostadsrätt,0,3.0,3.0,1,1945.0,11550.0,18143.0,0,0,0,,,81.0,99.0,1.0,1.0,116.66666666666669,,Lövstagatan 46A,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1270000,4097.0,78.5,3.0,2026-02-26,-2.0,16178.0,Lägenhet Örebro,https://www.hemnet.se/salda/lagenhet-3rum-lundby-orebro-kommun-dolomitvagen-68-7569403594091598702,lagenheter,"Såld 26 feb. 2026 Dolomitvägen 68 Lägenhet Örebro, Örebro kommun 78,5 m² 3 rum 4 097 kr/mån Uteplats Slutpris 1 270 000 kr -2 % 16 178 kr/m² Nordå Fastighetsmäklare",2026,2,1,Örebro,26.2,52.2,3.87,vinter,0,1,medel (60-80),Bostadsrätt,0,2.0,2.0,1,1973.0,3600.0,3094.0,1,0,0,,,53.0,78.5,1.0,1.0,45.859872611464965,,Dolomitvägen 68,59.2747287,15.2151181,0.11681827165748512,0.5638364206721153,2.2595036209294075,2.9725060081413126,2.543456959035123
2410000,3811.0,67.0,3.0,2026-02-25,-2.0,35970.0,Lägenhet Centralt / Öster,https://www.hemnet.se/salda/lagenhet-3rum-centralt-oster-orebro-kommun-isgatan-11-6595841311159394743,lagenheter,"Såld 25 feb. 2026 Isgatan 11 Lägenhet Centralt / Öster, Örebro kommun 67 m² 3 rum 3 811 kr/mån Balkong Hiss Slutpris 2 410 000 kr -2 % 35 970 kr/m² Mäklarhuset Örebro",2026,2,1,Centralt / Öster,22.3,56.9,1.9,vinter,0,1,medel (60-80),Bostadsrätt,0,5.0,9.0,1,2012.0,8100.0,1181.0,1,0,0,,,14.0,67.0,0.5555555555555556,0.0,120.8955223880597,,Isgatan 11,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1630000,5813.0,65.5,2.0,2026-02-24,-1.0,24885.0,B Lägenhet Väster,https://www.hemnet.se/salda/lagenhet-2rum-vaster-orebro-kommun-karlslundsgatan-11b-1517924757687594475,lagenheter,"Såld 24 feb. 2026 Karlslundsgatan 11B Lägenhet Väster, Örebro kommun 65,5 m² 2 rum 5 813 kr/mån Slutpris 1 630 000 kr -1 % 24 885 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Lägenhet Väster,32.8,88.7,4.28,vinter,0,1,medel (60-80),Bostadsrätt,0,3.0,3.0,1,1929.0,6900.0,1196.0,1,0,0,,,97.0,65.5,1.0,1.0,105.34351145038168,,Karlslundsgatan 11B,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1295000,2972.0,34.0,1.0,2026-02-24,0.0,38088.0,A Lägenhet Öster,https://www.hemnet.se/salda/lagenhet-1rum-oster-orebro-kommun-arbetargatan-5a-2478258612233380905,lagenheter,"Såld 24 feb. 2026 Arbetargatan 5A Lägenhet Öster, Örebro kommun 34 m² 1 rum 2 972 kr/mån Balkong Hiss Slutpris 1 295 000 kr ±0 % 38 088 kr/m² Erik Olsson Fastighetsförmedling",2026,2,1,Lägenhet Öster,34.0,87.4,2.75,vinter,0,0,mini (<40),Bostadsrätt,0,4.0,7.0,1,2022.0,4258.0,3068.0,1,0,0,,,4.0,34.0,0.5714285714285714,0.0,125.23529411764706,,Arbetargatan 5A,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
2225000,4626.0,78.2,3.0,2026-02-23,-3.0,28453.0,Lägenhet Örebro,https://www.hemnet.se/salda/lagenhet-3rum-orebro-orebro-kommun-restalundsvagen-59-3905846876295361906,lagenheter,"Såld 23 feb. 2026 Restalundsvägen 59 Lägenhet Örebro, Örebro kommun 78,2 m² 3 rum 4 626 kr/mån Slutpris 2 225 000 kr -3 % 28 453 kr/m² Svensk Fastighetsförmedling Örebro",2026,2,1,Örebro,26.1,59.2,2.49,vinter,0,1,medel (60-80),Bostadsrätt,0,3.0,3.0,1,1948.0,,755.0,1,0,0,,,78.0,78.2,1.0,1.0,,,Restalundsvägen 59,59.2747287,15.2151181,0.11681827165748512,0.5638364206721153,2.2595036209294075,2.9725060081413126,2.543456959035123
1400000,3470.0,50.0,2.5,2026-02-22,-3.0,28000.0,B Lägenhet Norr,"https://www.hemnet.se/salda/lagenhet-2,5rum-norr-orebro-kommun-bromsgatan-2b-8403522704779560136",lagenheter,"Såld 22 feb. 2026 Bromsgatan 2B Lägenhet Norr, Örebro kommun 50 m² 2,5 rum 3 470 kr/mån Balkong Slutpris 1 400 000 kr -3 % 28 000 kr/m² Mäklarhuset Örebro",2026,2,1,Lägenhet Norr,20.0,69.4,2.97,vinter,0,1,liten (40-60),Bostadsrätt,0,2.0,3.0,1,1939.0,3600.0,750.0,0,0,0,,,87.0,50.0,0.6666666666666666,0.0,72.0,,Bromsgatan 2B,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1525000,4718.0,70.5,3.0,2026-02-22,-4.0,21631.0,Lägenhet Vasastan,https://www.hemnet.se/salda/lagenhet-3rum-vasastan-orebro-kommun-kilsgatan-14-6571265506678760439,lagenheter,"Såld 22 feb. 2026 Kilsgatan 14 Lägenhet Vasastan, Örebro kommun 70,5 m² 3 rum 4 718 kr/mån Hiss Slutpris 1 525 000 kr -4 % 21 631 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Vasastan,23.5,66.9,3.71,vinter,0,1,medel (60-80),Bostadsrätt,0,2.0,3.0,1,,4776.0,543.0,1,0,0,,,48.0,70.5,0.6666666666666666,0.0,67.74468085106383,,Kilsgatan 14,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1045000,3960.0,50.0,2.0,2026-02-20,-5.0,20900.0,B Lägenhet Norr,https://www.hemnet.se/salda/lagenhet-2rum-norr-orebro-kommun-hjortstorpsvagen-20b-220996552238499558,lagenheter,"Såld 20 feb. 2026 Hjortstorpsvägen 20B Lägenhet Norr, Örebro kommun 50 m² 2 rum 3 960 kr/mån Balkong Slutpris 1 045 000 kr -5 % 20 900 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Lägenhet Norr,25.0,79.2,4.55,vinter,0,1,liten (40-60),Bostadsrätt,0,3.0,,1,1945.0,11054.0,5791.0,1,0,0,,,81.0,50.0,,0.0,221.08,,Hjortstorpsvägen 20B,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1660000,4144.0,53.0,2.0,2026-02-19,-5.0,31321.0,A Lägenhet Södra Ladugårdsängen,https://www.hemnet.se/salda/lagenhet-2rum-sodra-ladugardsangen-orebro-kommun-termikgatan-49a-6969483587068995442,lagenheter,"Maps Data: Google © 2026 Såld 19 feb. 2026 Termikgatan 49A Lägenhet Södra Ladugårdsängen, Örebro kommun 53 m² 2 rum 4 144 kr/mån Balkong Hiss Slutpris 1 660 000 kr -5 % 31 321 kr/m² Mäklarhuset Örebro",2026,2,1,Lägenhet Södra Ladugårdsängen,26.5,78.2,3.0,vinter,0,1,liten (40-60),Bostadsrätt,0,5.0,5.0,1,2019.0,5400.0,5387.0,1,0,0,,,7.0,53.0,1.0,1.0,101.8867924528302,,Termikgatan 49A,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
2825000,3951.0,86.0,3.0,2026-02-19,3.0,32849.0,Lägenhet Centralt / Öster,https://www.hemnet.se/salda/lagenhet-3rum-centralt-oster-orebro-kommun-engelbrektsgatan-40-2170791398071107608,lagenheter,"Såld 19 feb. 2026 Engelbrektsgatan 40 Lägenhet Centralt / Öster, Örebro kommun 86 m² 3 rum 3 951 kr/mån Balkong Hiss Slutpris 2 825 000 kr +3 % 32 849 kr/m² Mäklarhuset Örebro",2026,2,1,Centralt / Öster,28.7,45.9,1.68,vinter,1,0,stor (80-100),Bostadsrätt,0,2.0,4.0,1,1976.0,1800.0,2202.0,1,0,0,,,50.0,86.0,0.5,0.0,20.930232558139537,,Engelbrektsgatan 40,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
1200000,4784.0,54.5,2.0,2026-02-19,-11.0,22018.0,C Lägenhet Centralt Väster,https://www.hemnet.se/salda/lagenhet-2rum-centralt-vaster-orebro-kommun-vastra-nobelgatan-30c-4443667775329621940,lagenheter,"Maps Data: Google © 2026 Såld 19 feb. 2026 Västra Nobelgatan 30C Lägenhet Centralt Väster, Örebro kommun 54,5 m² 2 rum 4 784 kr/mån Balkong Hiss Slutpris 1 200 000 kr -11 % 22 018 kr/m² Nordå Fastighetsmäklare",2026,2,1,Lägenhet Centralt Väster,27.2,87.8,4.78,vinter,0,1,liten (40-60),Bostadsrätt,0,2.0,3.0,1,1945.0,,1209.0,0,0,0,,,81.0,54.5,0.6666666666666666,0.0,,,Västra Nobelgatan 30C,59.2753,15.2134,0.0,0.447155673153539,2.1715285067778685,3.0832063338677487,2.5895719397184873
